ID,Название,Компания,Местоположение,Зарплата,Описание,Дата публикации
211,Риск-менеджер,Газпромбанк: Старт карьеры,Москва,Зарплата не указана,"Специалисты этого направления занимаются анализом рыночных рисков, деривативов, открытой валютной позиции, фронт-офисными и риск системами
Твоими задачами будут:
 настройка и верификация моделей по задачам трейдинга и рисков
 подготовка отчетных материалов о рисках
 контроль валютной позиции
Круто, если ты:
 владеешь Excel и PowerPoint на высоком уровне
 умеешь работать с большими объемами информации
 обладаешь способностью к анализу и систематизации
Будет плюсом:
 знание Python или VBA
Формат работы:
 гибрид, Москва",2025-06-26
212,SQL-разработчик / Разработчик ETL / Разработчик DWH,ВЭББАНКИР,Москва,Зарплата не указана,"Чем предстоит заниматься:
• Сопровождением и развитием DWH на базе Greenplum, Clickhouse и PostgreSQL
• Созданием и доработкой ETL/ELT потоков для эффективной обработки данных
• Разработкой хранимых процедур и функций для оптимизации работы с данными
• Оптимизацией SQL-запросов для повышения производительности
• Взаимодействием с BI аналитиками и разработчиками для обеспечения качественного анализа данных
Что мы ожидаем:
• Уверенное знание PL/pgSQL, PostgreSQL и Greenplum
• Опыт разработки и оптимизации сложных SQL-запросов, включая оконные функции, CTE и JOIN
• Умение разбираться в чужом коде и вносить необходимые изменения
• Знание Python, GIT, а также опыт работы с Airflow и СУБД Clickhouse будет плюсом
Что мы предлагаем:
• Гибкий график: удалёнка, гибрид или офис (на ваш выбор)
• Обучение за счёт компании: курсы, конференции, менторинг от экспертов
• Современный стек: актуальные инструменты, автоматизация процессов CI/CD
• Сильная команда: коллеги уровня middle+, открытые к диалогу и новым идеям
• Комфортная культура: корпоративные мероприятия без обязаловки, фокус на результате и балансе",2025-06-26
213,Ведущий специалист информационной безопасности,РТРС,Москва,100000 - 100000 rub,"Обязанности:
• работать с системами информационной безопасности (SIEM, SOAR/IRP, NTA)
• заниматься мониторингом и анализом событий ИБ
• регистрировать события ИБ и доводить их до закрытия
• взаимодействие с коллегами
Требования:
• знание современных тактик техник атакующих, основных векторов атак на корпоративные инфраструктуры, способов их обнаружения и противодействия
• опыт работы с KSC, IRP/SOAR системами
• понимание работы SOC (Security Operation Center)
• понимание работы средств защиты информации (FW, IDS/IPS, FB3, SIEM и пр.)
• ответственный подход к решению задач, способность работать в режиме многозадачности
• высшее образование (ИБ или ИТ)
Будет плюсом:
• - опыт работы с SIEM (maxPatrol SIEM)
• опыт использования скриптовых языков и регулярных выражений (Python, PS, Bash)
• опыт расследования инциндентов ИБ
• участие в CTF, наличие профильных сертификатов
Условия:
• Работа в федеральной компании стратегического масштаба
• график работы сутки/трое
• широкий стек технологий и проектов, возможность гибко строить свой карьерный трек
• зарплата, соответствующая опыту и навыкам, прозрачная система мотивации
• поддержка профессионального развития - курсы и тренинги внутри департамента
• расширенный пакет ДМС со стоматологией
• материальная помощь к отпуску
• система премирования
• 13-я зарплата по итогам работы Предприятия за год и другие виды поощрения, предусмотренные Коллективным договором РТРС",2025-06-26
214,Аналитик данных,"Государственное Казенное учреждение г Москвы ""Центр бухгалтерского учета и отчетности Департамента здравоохранения г. Москвы""",Москва,Зарплата не указана,"Обязанности:
• обработка данных с помощью Python, SQL
• создание и поддержка аналитических отчетов
• визуализация данных (создание дашбордов)
• автоматизация аналитических отчетов на apache-airflow
• выполнение Ad-hoc запросов от различных отделов
Требования:
• высшее образование 
• опыт работы в качестве аналитика данных от года
• наличие соответствующего практического опыта на реальных проектах
• знание Python (pandas, модули os, shutil, requests)
• знания Excel (сводные, формулы)
• знание SQL (СУБД clickhouse)
• аналитический склад ума, организованность, ответственность
Условия:
• работа в офисе
• график: 5/2, гибкий по времени прихода/ухода 
• оформление по ТК РФ (больничные, отпуск 28 календарных дней)
• хорошие возможности профессионального и карьерного развития
• заработная плата обсуждается с успешным кандидатом
• офис в шаговой доступности от м. Новослободская
• кофе, чай, печеньки",2025-06-26
215,DevOps-инженер,SuperJob,Москва,Зарплата не указана,"Чем предстоит заниматься:
• Управлять мониторингом zabbix, grafana.
• Реагировать на инциденты, не теряя присутствия духа.
• Поддерживать актуальный план восстановления в случае сбоев.
• Находить узкие места в архитектуре проекта и приложений.
• Рулить конфигурацией сервисов nginx, mariadb, clickhouse, apache, rabbitmq и других.
• Писать плейбуки и роли для ansible для конфигурации и деплоя.
• Контейнеризировать новые сервисы и поддерживать старые.
• Поддерживать стороннее ПО (sentry, bitbucket, teamcity итд).
• Рулить процессом continuous integration и deployment.
• Описывать конфигурацию новых сервисов на Jsonnet.
• Администрировать Kubernetes.
От вас мы ждем:
• Опыт DevOps от 3-х лет.
• Администрирования Linux.
• Администрирования Kubernetes.
• Настройки и эксплуатации CI/CD.
• Эксплуатации и отладки СУБД (MySQL/MariaDB, Postgres, ClickHouse, Redis).
• Программирования (скрипты Bash/PHP/Python/Go).
• Настройки и эксплуатации web-проектов.
• Использования и настройки систем мониторинга.
Мы используем в работе свой дата-центр, пару сотен серверов, CentOs/Virtuozzo, Git, Nginx, Apache, NodeJS, Bash/Sh, PHP, Python, Rust, Go, MariaDB/MySql, PostgreSQL, Redis, Sphinx, RabbitMQ, Memcache, ClickHouse, ELK, Graphite/Grafana, Zabbix, TeamCity, Jenkins, Docker, Kubernetes, Ansible, Nexus, Vault, Atlassian Jira/Confluence/BitBucket. 


Своему будущему коллеге мы предлагаем:
• Работу в одном из самых быстрорастущих рынков - HRTech.
• Высокую инженерную культуру.
• Непрерывное обучение и профессиональное развитие внутри компании.
• Возможность стать частью сплоченной команды, любящей свое дело.
• Регулярную обратную связь от наставников и руководителей.
• Официальную заработную плату.
• ДМС после прохождения испытательного срока.
• Современный офис в 10 минутах пешей прогулки от станций метро Пушкинская/Маяковская/Чеховская/Новослободская.
• Спортивный уголок.
• Комфортную зону отдыха.
• Кофе-поинты с вкуснейшим кофе и вендинговым аппаратом.
• Оборудованное просторное место для питания.
• Оплату проезда общественным транспортом.",2025-06-26
216,Инженер-исследователь в области беспроводной связи (Wireless Communications Algorithms),Синтелс,Москва,Зарплата не указана,"Что нужно делать:
• Заниматься разработкой и моделированием алгоритмов физического уровня беспроводной связи (Матлаб и/или Python).
• Имплементировать алгоритмы на C/C++ (x86 & DSP) и/или на FPGA.
• Анализировать стандарты и научные публикации при разработке алгоритмов.

Требования:
• Знание алгоритмов цифровой обработки сигналов.
• Опыт разработки и моделирования алгоритмов на Matlab и/или Python – от 2 лет.
• Опыт имплементации алгоритмов на C/C++ и/или FPGA.
• Хороший (технический) английский.
• Умение грамотно излагать свои мысли (в том числе и на бумаге).
• Умение работать в команде.
Будет плюсом:
• Высшее техническое образование (радиотехника, математика), либо, в т.ч., студент старших курсов.
• Знание алгоритмов, применяемых в системах беспроводной связи.
• Знание стандартов мобильных систем связи (GSM, UMTS, LTE). Знание алгоритмов, применяемых в системах беспроводной связи.
• Знание аналоговой и цифровой схемотехники, принципов построения аналоговых трактов приемопередающих устройств.
• Умение работать с измерительной техникой (осциллографом, генератором, анализатором спектра).
• Опыт работы в GitLab, Jira, Confluence.
Условия:
• Интересные вызовы и задачи (есть возможность «прокачать» свои навыки не только в разработке алгоритмов, но и в имплементации).
• Работу в стабильной российской IT-компании с аккредитацией Минцифры.
• Работу с гибким графиком и с возможностью удаленной работы (гибрид).
• Официальное трудоустройство, оплачиваемые больничные, отпускные и т.п.
• ДМС, включая стоматологию, после испытательного срока.",2025-06-26
217,Аналитик данных IVR,ПАО Сбербанк,Совхоз им. Ленина,70000 - 80000 rub,"Ищем аналитика данных в канал виртуальный ассистент IVR. Мы занимаемся проектированием диалоговых сценариев и обучением виртуальных ассистентов банковским навыкам и консультационным услугам.
• Релевантный опыт от 2-х лет;
• Знания статистики для работы с гипотезами и доверительными интервалами;
• Опыт проведения а/б тестов; Умение работать с большими массивами данных;
• Навыки презентации и визуализации;
• Владение SQL, Spark, Python для обработки и анализа данных.
• Будет плюсом: Опыт работы с QlikView;
• Опыт работы с библиотеками (nltk/gensim), т.к. иногда придется работать с текстовыми данными;
• Опыт работы с Колл Центрами и автоматизацией обслуживания обращений
 
• Анализ воронок клиентских путей в продуктах;
• Выявление триггеров при взаимодействии с банком, влияющих на поведение клиентов в ботах;
• Проведение и анализ продуктовых пилотов;
• Построение дашбордов/отчетов;
• Взаимодействие с командами BigData в Банке в части обмена опытом
 
• Профессиональное обучение, семинары, тренинги, конференции;
• Годовые премии; ДМС, сниженные ставки по кредитованию, программы лояльности для сотрудников;
• Самые инновационные, амбициозные проекты и задачи;
• Комфортный офис Sbergile Home с просторными опенспейсами, лаунж зонами, кафе, рестораном и оборудованными кухнями;
• Бесплатный фитнес-зал;
• Место работы БЦ Президент Плаза (м. Кутузовская).",2025-06-24
218,Web-Разработчик ,АЛ Технология,Кемерово,100000 - 250000 rub,"Вакансия компании: АЛ Технология
Ищем Web-разработчика.
Обязателен опыт работы с технологиями: PHP JavaScript HTML/CSS MySQL/PostgreSQL
Приветствуем знание фреймворков Yii2, Laravel и библиотеки React.
ВАЖНО! Необходим статус ИП или самозанятого. 
Работа удалённая, совместима с другой занятостью, объём задач оговаривается индивидуально. Оплата почасовая, максимальная зарплата — до 250 тыс. руб/мес. 
Опыт разработки — от 1 года. График свободный, удобный вам.
Условия:
• Заработная плата до 250 000 рублей.
• Возможность совмещения с постоянной работой и выполнением отдельных задач.
• Удаленная работа с гибким графиком.
• Выходные дни: суббота, воскресенье и государственные праздники.
• Премиальная система оплаты труда за выполнение KPI и достижение результатов.
Обязанности:
• Разработка и поддержка веб-приложений на стеке технологий: PHP, Python, JavaScript, HTML, CSS.
• Работа с базами данных.
• Оптимизация производительности приложений.
• Участие в проектировании архитектуры решений.
• Взаимодействие с командой разработчиков и тестировщиков.
Требования:
• Опыт работы с PHP, Python, JavaScript, HTML, CSS
• Уверенное владение MySQL и (знание PostgreSQL приветствуется).
• Знание современных фреймворков и библиотек (например, node, Laravel, Django, React).
• Понимание принципов ООП и паттернов проектирования.
• Владение инструментами контроля версий (Git).
• Способность работать как самостоятельно, так и в команде.
Что нужно будет делать:
• Разработка скриптов;
• Интеграция вёрстки и программного кода;
• Выполнение доработок на текущих проектах;
Что предлагаем: 
• Официальный договор;
• Удаленная работа;
• Гибкий график;
• Премии и подарки;
• Обучение и карьерный рост
ВНИМАНИЕ! Рассматриваем только кандидатов, которые заполнили анкету, ссылка на анкету будет отправлена в ответ на Ваш отклик.
Откликайтесь ПРЯМО СЕЙЧАС! Мы будем рады сотрудничеству!",2025-06-23
219,Начальник сектора,Сбербанк России,Самара,Зарплата не указана,"Мы ищем в команду человека, который:
• Умеет оптимизировать процесс
• Разбирается в тонкостях аналитики
• Умеет проводить исследования по эффективности работы сотрудников
• Понимает в принципах разработки
• Знает что такое СУБД и Jira
• Умеет оптимизировать данные
• Настойчив в достижении целей
• Любит запускать новые проекты
• Умеет сплотить и вдохновить команду
Обязанности
Сектор выполняет следующие задачи:
• 1. Формирование отчетности и анализ данных
• подготовка периодической и отчётности по запросу
• проведение анализов по операционным показателям
• разработка Dashboard на QlickSense
• 2. Запуск пилотных проектов
• выбор сотрудников для пилотов
• оценка влияния пилота
• оценка тиражирования пилота
• 3. Автоматизация процессов отчётности
• ведение баз данных
• разработка технических решений на python, web
• внедрение разработок
• поддержание и доработка технических решений
• В секторе 22 человека.
Задачи начальника сектора:
• Выполняет административное и оперативное руководство сектором
• Отвечает за выполнение показателей сервиса, своевременную и качественную подготовку аналитической отчетности по показателям работы
• Отвечает за качество данных в Dashboard
• Отвечает за сопровождение внедряемых проектов по направлениям: сопровождение инсталляции нового программного обеспечения, организация и внесения изменений в системы отчетности
• Взаимодействие с внутренними клиентами
Требования
• Высшее образование
• Опыт руководства командой аналитиков не менее 10 человек более 1 года
• Знание организацией СУБД, sql
• Знание основ прогнозирования и оптимизации процессов
• Знание принципов построение отчётности и разработки
• Коммуникабельность
Условия
• Официальное трудоустройство
• Полный социальный пакет
• ДМС с первого дня
• Льготное кредитование
• Насыщенная корпоративная жизнь
• Бесплатный тренажерный зал.",2025-06-26
220,Стажер-Инженер-программист,Google,Москва,Зарплата не указана,"Обязанности:
• Проектирование, разработка, тестирование, развертывание, поддержка и улучшение программного обеспечения
• Управление приоритетами проекта, сроками и результатами
• Выполнение задач по запросу, доведение их до завершения

Требования:
• Степень бакалавра
• Опыт разработки программного обеспечения на одном или нескольких языках программирования (например, Python, C, C++, Java, JavaScript)
• Опыт работы со структурами данных или алгоритмами во время курсовых работ/проектов, исследований, стажировок или практический опыт в школе или на работе (например, кодирование с открытым исходным кодом)
• Знание английского языка

Условия:
• Возможность начать работать в 2025",2025-06-26
221,Учитель информатики,МБОУ ОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР ПОЛЁТ,Красногорск,от 120000 rub,"Обязанности:
• Проведение уроков информатики согласно рабочей программе по предмету, контрольных и практических работ, обучение программированию на Python, проверка тетрадей. Составление рабочих планов и проведение уроков;
• В разных вариантах: от 25 до 28 часов уроков информатики+ 3-4 часа внеурочной деятельности по направлению. 
• Ведение электронного журнала. Возможно получение доплаты за эффективную работу. 
• Внеурочная деятельность. Обеспечивать индивидуальный подход к каждому ребенку. Создавать доброжелательную атмосферу занятий;
• Иная педагогическая работа (участие в педагогических советах, в качестве организатора ГИА, встречи с родителями, методическая работа).
• Классное руководство (возможно).
Требования:
• Высшее педагогическое образование. Образование в области информатики. 
• Опыт работы, навыки подготовки учащихся к олимпиадам. Владение рабочей программой по предмету, в том числе на профильном уровне СОО (10 -11 класс);
• Педагогическая и методическая компетентность, владение педагогическими технологиями; желание обучаться и развиваться;
• Первая или высшая квалификационная категория - преимущество, но и успешных выпускников ВУЗов с удовольствие рассмотрим. Опыт работы приветствуется. Готовы обучать тех, кто сам хочет и готов обучаться в процессе работы.
• Ответственность, коммуникабельность, любовь к детям, индивидуальность подхода, активность, гибкость, доброжелательность, способность работать в команде.
Условия:
• Полное соблюдение трудового законодательства РФ;
• Официальная, стабильная заработная плата по тарификации в зависимости от уровня квалификации и нагрузки; сохранение педагогического стажа;
• 5-дневная рабочая неделя;
• Комфортабельное рабочее место;
• Частичная компенсация за аренду жилья специалистам из регионов.",2025-06-20
222,Стажер-разработчик Backend,Сбер: Старт карьеры,Иркутск,до 54250 rub,"Оплачиваемая стажировка по направлению «Backend» от Сбера!
Присоединяйся к команде «Центр развития талантов Байкальского банка», занимайся подготовкой комплекса мероприятий, направленных на привлечение высокопрофессиональных специалистов и развитие потенциала сотрудников.
 В рамках стажировки тебе предстоит:
• разрабатывать и настраивать чат-ботов для различных платформ (Telegram, VK и другие мессенджеры);
• создавать сценарии взаимодействия пользователей с ботами, включая обработку запросов, ответы на часто задаваемые вопросы и выполнение автоматических действий.
 Необходимые навыки:
• Python;
• SQL;
• Docker;
• GitLab;
• ООП.
 Мы предлагаем:
• стажировка от 3 до 6 месяцев с возможностью перехода в штат;
• гибкий график и возможность совмещать с учебой: от 20 до 40 часов в неделю;
• зарплата пропорционально количеству часов (54 250 рублей в месяц при работе 40 часов в неделю);
• возможность пройти обучение по интересующим тебя направлениям soft и hard skills в виртуальной школе Сбера и на специальных тренингах;
• лучшие стажеры могут получить оффер и начать строить успешную карьеру.
• Мы ждем именно тебя!",2025-06-26
223,Инженер почтовых сервисов,Т1,Москва,Зарплата не указана,"Мы находимся в поисках Инженера почтовых сервисов.
Вместе с нами тебе предстоит:
• Устанавливать, настраивать, администрировать почтовый продукт MS Exchange;
• Участвовать в проекте импортозамещения: развертывание новой почтовой инфраструктуры, миграция почтовых ящиков, дальнейшее сопровождение почтовых продуктов;
• Обновлять версии прикладного ПО, устанавливать апдейты безопасности на серверы;
• Автоматизировать процесс на Powershell, Python, Perl, Bash;
• Отрабатывать запросы аварий и инцидентов;
• Разрабатывать техническую документацию.
Какие навыки и знания для нас важны:
• Знание и опыт установки/администрирования ОС семейства Windows/Linux (не менее 1,5 года);
• Знание и опыт установки/настройки/администрирования MS Exchange различных поколений;
• Знание принципов работы почтовых протоколов, методов защиты почтового трафика;
• Понимание архитектуры/требований к ИТ инфраструктуре для разворачивания почтовых систем.
Будет плюсом:
• Участие в проектах по внедрению импортозамещенных почтовых продуктов Kaspersky Secure Mail Gateway, Rupost, CommuniGate Pro.
• Опыт в развёртывании системы с нуля.",2025-06-26
224,Стажер-разработчик С++,ООО Вконтакте:Старт,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:
• Разработка бэкенда на C++.
• Поддержка и улучшение функциональности.
• Написание интеграционных тестов на Python.
• Написание скриптов и конфигураций для развёртывания сервисов.
• Самостоятельная установка и настройка необходимого для работы окружения и инструментов.
Необходимые навыки:
• Знание C++ (14/17/20).
• Знание алгоритмов и структур данных.
• Владение Python (для написания тестов).
• Знание Linux на уровне пользователя, умение пользоваться консолью.
• Умение обращаться с Git.
• Команда: работа с ведущими экспертами IT-индустрии, которые готовы делиться своим опытом.
• Масштабные проекты и интересные задачи: мы реализуем более 200 технологичных продуктов, которыми пользуется свыше 95% аудитории рунета.
• Оборудование: у нас есть специализированные гаджеты и дополнительные мониторы для комфортной работы над задачами.
• Профессиональное развитие: мы проводим митапы, конференции, семинары и тренинги для сотрудников.
• Здоровье и спорт: в офисе есть фреш-бар с овощами и фруктами, можно вступить в спортивную команду.
• Командный досуг: наши сотрудники собираются вместе и проходят мастер-классы, тимбилдинги на свежем воздухе, смотрят кино и, конечно, танцуют на VK Fest.
Условия:
• ты сможешь работать очно из офиса VK в Санкт-Петербурге, Москве, Казани, Сочи, Нижнем Новгороде, Томске, Перми или Минске. У нас комфортные пространства со всем необходимым для работы и отдыха. Если же ты из другого города, то сможешь пройти стажировку удалённо.",2025-06-26
225,Руководитель команды разработки C/C++,Hunttech,Саратов,до 180000 rub,"В офис компании Росдортех очень нужен Руководитель команды разработчиков!
Чем предстоит заниматься:
• Разрабатывать и поддерживать системное ПО на С/С++(Windows/Linux)
• Выполнять ревью разработанного кода
• Участвовать в разработке архитектуры и требований нового программно-аппаратного комплекса
• Внедрять новые подходы в разработку ПО
Наши ожидания от кандидата: 
• Опыт управления командами разработчиков
• Опыт общения с заказчиком
• Постановка и декомпозиция задач
• Опыт постановки и управления процессом разработки в компании
• Знание языков программирования С/С++
• Опыт работы с многопоточностью
• Опыт работы с COM/Hid устройствами
• Опыт разработки ПО для Linux на С/С++
• Опыт работы с sql-базами данных
• Опыт работы с системами контроля версий Git/SVN
• Опыт работы с трекерами задач Jira/Redmine
• Чтение технической документации на английском языке
• Умение разбираться в чужом коде
• Умение писать простой, легко читаемый код
• Умение работать в команде
Будет плюсом:
• Знание Python
• Опыт работы с БД Firebird. InterBase
• Знание основного сетевого стека протоколов(TCP/IP)
• Опыт разработки ПО для программно-аппаратных комплексов
• Опыт создания библиотек
• Опыт работы с межпроцессорным взаимодействием
Мы предлагаем:
• Официальное трудоустройство в соответствии с ТК РФ
• Работа в современном офисе (Офис территориально - пр. Строителей, кольцо НИИ)
• Система бонусов и поощрений (все доп. работы и достижения оплачиваются)
• Возможность выбора удобного для сотрудника начала и окончания рабочего дня
• Прикрепление наставника на период адаптации
• Профессиональный и карьерный рост
• Интересные амбициозные задачи
• Своя столовая с демократичными ценами
• Свой тренажерный зал",2025-06-23
226,Стажер Машинное обучение,Яндекс: Старт карьеры,Москва,Зарплата не указана,"Обучение
Мы предлагаем:

• Обучают модели для международного Поиска
• Улучшают качество поиска Маркета: занимаются обучением моделей и features engineering
• Учат YandexGPT работать с внешней информацией
• Преобразуют данные с сенсоров камер, лидаров и радаров в программные сущности, которые используются при планировании движения автомобиля
В рамках стажировки тебе предстоит:


• Понимать классические алгоритмы и структуры данных
• Владеть Python или С++
• Знать методы машинного обучения
• Будет плюсом, если работали с DL


Необходимые навыки:


• Оплачиваемая стажировка
• Доступ к корпоративным фичам
• Компенсация обедов
• Оплата проезда и проживания в Москве
• Официальное оформление на стажировку или практику от вуза
• Гибкий и гибридный график: 20, 30 или 40 часов в неделю",2025-06-26
227,Стажер Аналитик данных,Яндекс: Старт карьеры,Санкт-Петербург,Зарплата не указана,"В рамках стажировки тебе предстоит:


• Запуск А/Б-тестов
• Сбор датасетов для обучения моделей
• Построение метрик и дашбордов
• Проверка качества метрик и многое другое
Необходимые навыки:


• Python — знать синтаксис и понимать алгоритмы, уметь писать скрипты
• SQL — знать синтаксис и уметь писать запросы, применение оконных функций даёт преимущество
• Знать математическую статистику и теорию вероятностей, понимать «математическую культуру»


Мы предлагаем:

• Оплачиваемая стажировка
• Доступ к корпоративным фичам
• Компенсация обедов
• Оплата проезда и проживания в Москве
• Официальное оформление на стажировку или практику от вуза
• Гибкий и гибридный график: 20, 30 или 40 часов в неделю",2025-06-26
228,"Стажёр Data Science, Контент и товары",OZON: Старт карьеры,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:
• Обучение CV-моделей, продумывание и проверка гипотез, валидация результатов обучения
• Работа с данными - сбор датасета, подготовка фичей
• Познакомится с методами деплоя моделей в прод
• Взаимодействие с бизнес-заказчиками и перевод бизнес-требований в плоскость ML
Необходимые навыки:
• Уверенное знание Python и основных библиотек для работы с данными и ML-моделями (pytorch, pandas, numpy, sklearn)
• Понимание работы моделей компьютерного зрения, знания классических DL моделей (resnet, unet, yolo, vit, clip и др)
• Достаточные для ML знания теории вероятности и математической статистики
• Интерес к вышеуказанным сферам и желание в дальнейшем развиваться в них
• Законченное профильное техническое образование или обучение на последних курсах на текущий момент
• Готовность работать 40 часов в неделю
Мы предлагаем:
• Возможность обучиться перспективной профессии на реальных задачах
• Профессиональную команду, которой мы гордимся!
• Гибрид / офис в Сити
• Перспектива роста до штатного специалиста",2025-06-26
229,Специалист по информационной безопасности,Газпромбанк: Старт карьеры,Москва,Зарплата не указана,"Специалисты этого направления обеспечивают контроль за соблюдением режима конфиденциальности информации
Твоими задачами будут:
 поиск и маскирование конфиденциальной информации в файлах и базах данных
 написание скриптов автоматизации и составление регулярных выражений для поиска конфиденциальной информации
 поддержка и развитие проекта на Django


Круто, если ты:
 знаешь языки программирования (Python, SQL)
 умеешь работать с базами данных и писать запросы (PostgreSQL, MSSQL, ORACLE)
 умеешь работать с фреймворками (Django)
 имеешь навыки работы с модулем RegEx и умеешь писать регулярные выражения


Формат работы:
очный/гибрид, Москва",2025-06-26
