ID,Название,Компания,Местоположение,Зарплата,Описание,Дата публикации
75,Java Developer / Разработчик на Java (backend),НЕОС,Санкт-Петербург,,"Наши продукты основаны на высокоскоростной обработке потока данных (голос, сетевой трафик), фильтрации, анализе, а также предоставлении интерфейсов для интеграций и...",2025-06-23
76,Data-аналитик,Upmetric,Москва,,"Сбор, анализ и визуализация данных: Внедрение новых продуктовых метрик. Анализ продуктовых метрик и предложение по оптимизации. Анализ бизнес-требований реализации...",2025-06-26
77,Тестировщик игр,Targem Games,Екатеринбург,,"Ручное тестирование игровых проектов. Функциональное и нефункциональное тестирование, проведение регрессии. Проверки игрового баланса и экономики. Составление и актуализация тестовой документации...",2025-06-02
78,Операционный CFO (Chief Financial Officer),Wagner and Experts,Москва,None,"Ваша работа будет частью масштабного проекта по подготовке компании либо к продаже стратегическому инвестору, либо к IPO на Московской бирже. ",2025-06-25
79,QA Engineer (Strong Middle),FUN&SUN,Алматы,,Мануальное и авто тестирование на соответствие функциональным и. Нефункциональным требованиям. Внедрение/оптимизация процессов обеспечения/контроля качества. Через авто тесты. ,2025-06-23
80,QA automation engineer (Selenium + Python),Ритм,Москва,,"Постоянно расширяет регрессионный тест-пак. Автоматизирует все, что поддается автоматизации — от запуска стендов до анализа логов. Работает над улучшением процессов...",2025-06-25
81,Middle backend developer C#/.NET,LIFE PAY,Москва,,"Разработка бизнес-логики продукта. Поддержка, оптимизация и рефакторинг существующего кода. Покрытие кода unit и интеграционными тестами. Участие в code review. ",2025-06-26
82,Python разработчик (Termidesk),Группа компаний Астра,Москва,,"Интеграция серверного ПО Termidesk с другими системами (каталоги пользователей, платформы виртуализации, компоненты Termidesk, другие сервисы) через REST API. - ",2025-06-17
83,Аналитик данных,Мегамаркет,Москва,,"Мониторинг выполнения бюджетов, план-факт анализ выручки по продуктам и каналам продаж. Финансовое моделирование инвестиционных и операционных проектов, оценка их...",2025-06-23
84,Python Developer,MIND Software,Москва,,"Проектирование и реализация новых компонентов, среди которых: асинхронный RESTful API, мониторинг, selfhealing, healthcheck. Написание тестов к своему коду. ",2025-06-26
